genres,review_type,count
Action & Adventure,Fresh,6333
Action & Adventure,Rotten,7815
"Action & Adventure, Animation",Fresh,230
"Action & Adventure, Animation",Rotten,127
"Action & Adventure, Animation, Anime & Manga, Art House & International",Fresh,16
"Action & Adventure, Animation, Anime & Manga, Art House & International",Rotten,4
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Fresh,63
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Rotten,37
"Action & Adventure, Animation, Anime & Manga, Drama",Fresh,14
"Action & Adventure, Animation, Anime & Manga, Drama",Rotten,3
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",Fresh,25
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",Rotten,7
"Action & Adventure, Animation, Art House & International",Fresh,216
"Action & Adventure, Animation, Art House & International",Rotten,22
"Action & Adventure, Animation, Art House & International, Comedy",Fresh,14
"Action & Adventure, Animation, Art House & International, Comedy",Rotten,25
"Action & Adventure, Animation, Art House & International, Comedy, Science Fiction & Fantasy",Fresh,11
"Action & Adventure, Animation, Art House & International, Drama",Fresh,2
"Action & Adventure, Animation, Art House & International, Drama",Rotten,15
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",Rotten,6
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",Fresh,18
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",Rotten,4
"Action & Adventure, Animation, Art House & International, Kids & Family",Fresh,98
"Action & Adventure, Animation, Art House & International, Kids & Family",Rotten,38
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Fresh,156
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Rotten,42
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Fresh,3
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Rotten,18
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Fresh,7
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Rotten,3
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",Fresh,6
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",Rotten,3
"Action & Adventure, Animation, Comedy",Fresh,1687
"Action & Adventure, Animation, Comedy",Rotten,725
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Fresh,47
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Rotten,3
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",Fresh,79
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",Rotten,61
"Action & Adventure, Animation, Comedy, Drama",Fresh,11
"Action & Adventure, Animation, Comedy, Drama",Rotten,2
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",Fresh,168
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",Rotten,36
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",Fresh,8
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",Rotten,5
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Fresh,196
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Rotten,72
"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense",Fresh,2
"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense",Rotten,3
