genres,sentiment,count
Action & Adventure,Negative,4716
Action & Adventure,Neutral,2091
Action & Adventure,Positive,7341
"Action & Adventure, Animation",Negative,113
"Action & Adventure, Animation",Neutral,38
"Action & Adventure, Animation",Positive,206
"Action & Adventure, Animation, Anime & Manga, Art House & International",Negative,6
"Action & Adventure, Animation, Anime & Manga, Art House & International",Positive,14
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Negative,9
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Neutral,24
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",Positive,67
"Action & Adventure, Animation, Anime & Manga, Drama",Negative,1
"Action & Adventure, Animation, Anime & Manga, Drama",Neutral,1
"Action & Adventure, Animation, Anime & Manga, Drama",Positive,15
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",Negative,5
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",Neutral,4
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",Positive,23
"Action & Adventure, Animation, Art House & International",Negative,16
"Action & Adventure, Animation, Art House & International",Neutral,32
"Action & Adventure, Animation, Art House & International",Positive,190
"Action & Adventure, Animation, Art House & International, Comedy",Negative,8
"Action & Adventure, Animation, Art House & International, Comedy",Neutral,9
"Action & Adventure, Animation, Art House & International, Comedy",Positive,22
"Action & Adventure, Animation, Art House & International, Comedy, Science Fiction & Fantasy",Negative,5
"Action & Adventure, Animation, Art House & International, Comedy, Science Fiction & Fantasy",Neutral,2
"Action & Adventure, Animation, Art House & International, Comedy, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Animation, Art House & International, Drama",Negative,2
"Action & Adventure, Animation, Art House & International, Drama",Neutral,4
"Action & Adventure, Animation, Art House & International, Drama",Positive,11
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",Negative,12
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",Positive,10
"Action & Adventure, Animation, Art House & International, Kids & Family",Negative,27
"Action & Adventure, Animation, Art House & International, Kids & Family",Neutral,20
"Action & Adventure, Animation, Art House & International, Kids & Family",Positive,89
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Negative,18
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Neutral,35
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",Positive,145
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Negative,7
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Neutral,4
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",Positive,10
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Negative,3
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Neutral,2
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Positive,5
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",Negative,1
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",Neutral,2
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",Positive,6
"Action & Adventure, Animation, Comedy",Negative,391
"Action & Adventure, Animation, Comedy",Neutral,277
"Action & Adventure, Animation, Comedy",Positive,1744
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Neutral,11
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Positive,38
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",Negative,26
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",Neutral,20
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",Positive,94
"Action & Adventure, Animation, Comedy, Drama",Negative,8
"Action & Adventure, Animation, Comedy, Drama",Neutral,1
"Action & Adventure, Animation, Comedy, Drama",Positive,4
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",Negative,24
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",Neutral,44
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",Positive,136
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",Negative,1
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",Neutral,3
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",Positive,9
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Negative,67
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Neutral,36
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Positive,165
"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense",Negative,4
