,rok,sentiment,count
0,1999,Negative,4
1,1999,Neutral,2
2,1999,Positive,9
3,2000,Negative,9805
4,2000,Neutral,7183
5,2000,Positive,24084
6,2001,Negative,5856
7,2001,Neutral,4319
8,2001,Positive,14124
9,2002,Negative,10578
10,2002,Neutral,6882
11,2002,Positive,24822
12,2003,Negative,10415
13,2003,Neutral,6956
14,2003,Positive,25033
15,2004,Negative,10485
16,2004,Neutral,7449
17,2004,Positive,24968
18,2005,Negative,11183
19,2005,Neutral,7301
20,2005,Positive,25059
21,2006,Negative,12402
22,2006,Neutral,7030
23,2006,Positive,27911
24,2007,Negative,13791
25,2007,Neutral,7256
26,2007,Positive,29642
27,2008,Negative,12996
28,2008,Neutral,6913
29,2008,Positive,28952
30,2009,Negative,12485
31,2009,Neutral,6851
32,2009,Positive,29168
33,2010,Negative,12362
34,2010,Neutral,6784
35,2010,Positive,28271
36,2011,Negative,13257
37,2011,Neutral,6996
38,2011,Positive,31084
39,2012,Negative,12909
40,2012,Neutral,6766
41,2012,Positive,30908
42,2013,Negative,14500
43,2013,Neutral,7237
44,2013,Positive,32189
45,2014,Negative,13718
46,2014,Neutral,6554
47,2014,Positive,30730
48,2015,Negative,14606
49,2015,Neutral,6998
50,2015,Positive,33676
51,2016,Negative,15011
52,2016,Neutral,7157
53,2016,Positive,35703
54,2017,Negative,15957
55,2017,Neutral,7463
56,2017,Positive,37152
57,2018,Negative,19390
58,2018,Neutral,9275
59,2018,Positive,47628
60,2019,Negative,20233
61,2019,Neutral,9352
62,2019,Positive,52258
63,2020,Negative,11976
64,2020,Neutral,5556
65,2020,Positive,28193
