,rok,review_type,count
0,1999,Fresh,10
1,1999,Rotten,5
2,2000,Fresh,23649
3,2000,Rotten,17423
4,2001,Fresh,13949
5,2001,Rotten,10350
6,2002,Fresh,25940
7,2002,Rotten,16342
8,2003,Fresh,25894
9,2003,Rotten,16510
10,2004,Fresh,24904
11,2004,Rotten,17998
12,2005,Fresh,25792
13,2005,Rotten,17751
14,2006,Fresh,27778
15,2006,Rotten,19565
16,2007,Fresh,30381
17,2007,Rotten,20308
18,2008,Fresh,29139
19,2008,Rotten,19722
20,2009,Fresh,29531
21,2009,Rotten,18973
22,2010,Fresh,29471
23,2010,Rotten,17946
24,2011,Fresh,32887
25,2011,Rotten,18450
26,2012,Fresh,32644
27,2012,Rotten,17939
28,2013,Fresh,34876
29,2013,Rotten,19050
30,2014,Fresh,32914
31,2014,Rotten,18088
32,2015,Fresh,36820
33,2015,Rotten,18460
34,2016,Fresh,39052
35,2016,Rotten,18819
36,2017,Fresh,41272
37,2017,Rotten,19300
38,2018,Fresh,53442
39,2018,Rotten,22851
40,2019,Fresh,57724
41,2019,Rotten,24119
42,2020,Fresh,32633
43,2020,Rotten,13092
