,rok,sentiment,count
0,1999,0,1
1,1999,1,5
2,2000,0,6021
3,2000,1,12104
4,2001,0,3059
5,2001,1,6159
6,2002,0,8117
7,2002,1,15438
8,2003,0,9004
9,2003,1,16473
10,2004,0,8970
11,2004,1,15756
12,2005,0,8680
13,2005,1,16252
14,2006,0,9053
15,2006,1,16254
16,2007,0,9484
17,2007,1,17689
18,2008,0,9371
19,2008,1,16670
20,2009,0,9867
21,2009,1,18248
22,2010,0,9552
23,2010,1,18828
24,2011,0,9765
25,2011,1,19720
26,2012,0,9431
27,2012,1,19903
28,2013,0,9790
29,2013,1,20676
30,2014,0,9205
31,2014,1,19718
32,2015,0,8705
33,2015,1,19730
34,2016,0,9495
35,2016,1,21831
36,2017,0,8609
37,2017,1,21104
38,2018,0,9842
39,2018,1,25955
40,2019,0,10598
41,2019,1,29339
42,2020,0,5328
43,2020,1,15611
