genres,sentiment,count
Action & Adventure,0,4014
Action & Adventure,1,3775
"Action & Adventure, Animation",0,73
"Action & Adventure, Animation",1,146
"Action & Adventure, Animation, Anime & Manga, Art House & International",0,1
"Action & Adventure, Animation, Anime & Manga, Art House & International",1,5
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",0,22
"Action & Adventure, Animation, Anime & Manga, Art House & International, Science Fiction & Fantasy",1,29
"Action & Adventure, Animation, Anime & Manga, Drama",0,3
"Action & Adventure, Animation, Anime & Manga, Drama",1,7
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",0,4
"Action & Adventure, Animation, Anime & Manga, Science Fiction & Fantasy",1,19
"Action & Adventure, Animation, Art House & International",0,9
"Action & Adventure, Animation, Art House & International",1,137
"Action & Adventure, Animation, Art House & International, Comedy",0,22
"Action & Adventure, Animation, Art House & International, Comedy",1,8
"Action & Adventure, Animation, Art House & International, Comedy, Science Fiction & Fantasy",1,5
"Action & Adventure, Animation, Art House & International, Drama",0,6
"Action & Adventure, Animation, Art House & International, Drama",1,2
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",0,2
"Action & Adventure, Animation, Art House & International, Drama, Science Fiction & Fantasy",1,1
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",0,2
"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",1,7
"Action & Adventure, Animation, Art House & International, Kids & Family",0,27
"Action & Adventure, Animation, Art House & International, Kids & Family",1,65
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",0,20
"Action & Adventure, Animation, Art House & International, Kids & Family, Science Fiction & Fantasy",1,109
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",0,16
"Action & Adventure, Animation, Art House & International, Science Fiction & Fantasy",1,2
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",0,3
"Action & Adventure, Animation, Classics, Comedy, Kids & Family",1,5
"Action & Adventure, Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts",1,5
"Action & Adventure, Animation, Comedy",0,354
"Action & Adventure, Animation, Comedy",1,1051
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",0,1
"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",1,24
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",0,32
"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",1,64
"Action & Adventure, Animation, Comedy, Drama",1,8
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",0,9
"Action & Adventure, Animation, Comedy, Drama, Kids & Family",1,81
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",0,2
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts",1,5
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",0,32
"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Science Fiction & Fantasy",1,134
"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense",0,2
"Action & Adventure, Animation, Comedy, Horror, Mystery & Suspense",1,2
"Action & Adventure, Animation, Comedy, Kids & Family",0,1074
"Action & Adventure, Animation, Comedy, Kids & Family",1,2979
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts",0,1
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts",1,39
